n       averageSecondsToCompute	lnaverageSecondsToCompute
30	0.003840453	-5.562164864
35	0.00798042	-4.830764237
40	0.018879107	-3.969699436
45	0.036080393	-3.322005682
50	0.07736514	-2.559218987
55	0.145357117	-1.928561691
60	0.24695181	-1.398562063
65	0.41949322	-0.868707915
70	0.692106777	-0.368015034
