num     oldUpperBound   newUpperBound   lowerBound
1       12      9       7
2       13      9       7
3       13      7       7
4       13      7       7
5       12      8       7
6       12      8       7
7       13      9       7
8       14      8       7
9       13      8       7
10      12      7       7
